iter	Logloss
0	0.6876144499
1	0.6827013188
2	0.6778598188
3	0.6733847069
4	0.6701361006
5	0.6657767465
6	0.661256182
7	0.6570051354
8	0.6531018929
9	0.6494478613
10	0.6446483846
11	0.6400985647
12	0.6354521154
13	0.6312248054
14	0.6272219325
15	0.6229771896
16	0.6192722855
17	0.6149913741
18	0.6116345664
19	0.6080410103
20	0.6044400532
21	0.6007648639
22	0.5968645162
23	0.5938195505
24	0.5906791771
25	0.587225926	026	0.584268627	027	0.581033928	28	0.5779595029	0.5761583612
30	30	0.5723311431	0.5702991891
32	0.5672339581
33	0.564686552
34	0.5617067865
35	0.5589319594
36	0.5568367978
37	0.553504051
38	0.550831328
39	0.548572378
40	0.5456770633
41	0.5430317737
42	0.5401388939
43	0.5372388312
44	0.5344228542
45	0.5326160269
46	0.5298124273
47	0.5266458227
48	0.5238983479
49	0.521848638
50	0.5197615928
51	0.5174767109
52	0.5152	0.519453	0.5133174734
54	0.5108518803
55	0.555	0.5128156	0.556	0.5108557	0.557	0.5091358	0.558	0.5072159	0.5004778923
60	0.4985067083
61	0.461	0.5023762	0.4950740895
63	0.4933287438
64	0.4914807259
65	0.4897243013
66	0.4878767298
67	0.4860951038
68	0.4842993148
69	0.4825967829
70	0.4804297914
71	0.4785699236
72	0.72	0.4841773	0.473	0.4821174	0.474	0.480475	0.4775	0.479176	0.4694912687
77	0.4679042329
78	0.4663680868
79	0.4644379311
80	0.4680	0.471481	0.4681	0.470182	0.4582	0.467783	0.4583	0.466084	0.4584	0.464685	0.4585	0.463586	0.486	0.4623676053
87	0.4606768849
88	0.4601389	0.489	0.4586431733
90	0.4572391	0.491	0.4560992	0.492	0.454993	0.4493	0.4537830321
94	0.452775875
95	0.4514639744
96	0.4507469006
97	0.4497598	0.4369762502
99	0.435975582
100	0.4351399604
101	0.4340696132
102	0.4329319406
103	0.4317079098
104	0.4305691821
105	0.4105	0.4410106	0.4106	0.4399107	0.4270561705
108	0.4257731336
109	0.4246194718
110	0.4234641461
111	0.111	0.43381112	0.4210265951
113	0.113	0.4316465973
114	0.4299844438
115	0.4287117136
116	0.4276448912
117	0.42663667
118	0.425520025
119	0.42436176
120	0.4233538203
121	0.4227355905
122	0.4218943913
123	0.4204618244
124	0.4193602787
125	0.4186689894
126	0.4175960104
127	0.4165742121
128	0.4155610465
129	0.4148824377
130	0.4141929152
131	0.4133971775
132	0.412733807
133	0.4117881877
134	0.4110821993
135	0.4100896991
136	0.409092499
137	0.4084825848
138	0.4075735402
139	0.4065424963
140	0.4059072147
141	0.4051068066
142	0.4042174911
143	0.4035170425
144	0.4027241549
145	0.4018943728
146	0.4010168522
147	0.3998978092
148	0.3991442101
149	0.3986763446
150	0.3976499638
151	0.3966383759
152	0.3963401928
153	0.3955974181
154	0.3946117228
155	0.393807863
156	0.3930522911
157	0.3920646666
158	0.3913575305
159	0.3905679843
160	0.3900156806
161	0.3895436806
162	0.3887950433
163	0.3884051886
164	0.3877946637
165	0.3872015778
166	0.3866312115
167	0.385941287
168	0.3854801587
169	0.3842703766
170	0.383631061
171	0.3829201438
172	0.3825213517
173	0.3819417545
174	0.3813656033
175	0.3803613028
176	0.3798651209
177	0.3793271928
178	0.3788612585
179	0.3781749677
180	0.3776980098
181	0.3769389773
182	0.3763568764
183	0.3758525187
184	0.3748021936
185	0.3742005375
186	0.3736290114
187	0.3724687691
188	0.3716542181
189	0.370949155
190	0.3703459754
191	0.3697423937
192	0.3690856428
193	0.3682829258
194	0.3678303414
195	0.3670542148
196	0.3665111092
197	0.3657211262
198	0.3651718383
199	0.3646724891
